week,dates,emc2,emc2_deck,rers,rers_deck
1,5-Sep,intro to course,,intro to course,
2,sept 10 & 12,[pollinator declines](http://science.sciencemag.org/content/339/6127/1611),,citizen science,
3,Sept 17 & 19,[climate change](https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2010GL042845),,R ,
4,Sept 24 & 26,[invasive species](https://link.springer.com/article/10.1007/s10530-017-1461-x),,team science,
5,Oct 1 & 3,take-home test,,test in class,
6,Oct 15 & 17,[land use challenges](https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecs2.2367),,systematic review,
7,Oct 22 & 24,[coastal habitat functioning](https://peerj.com/articles/768/),,meta-analysis,
8,Oct 29 & 31,[ocean health](http://science.sciencemag.org/content/319/5865/948),,mapping,
9,Nov 5 & 7,take-home test,,test in class,
10,Nov 12 & 14,[meta-analysis](https://onlinelibrary.wiley.com/doi/abs/10.1002/jrsm.1109),,[meta-analysis how to](https://cjlortie.github.io/open.meta.workflows/),
11,Nov 19 & 21,meta-analyses,,[poster how to](https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030102),
12,Nov 26 & 28,poster session: class only,,poster session: public,
